0.841471,0.000000,0.540302
0.841404,0.010617,0.540303
0.841105,0.021213,0.540456
0.840576,0.031785,0.540760
0.839820,0.042327,0.541212
0.838840,0.052836,0.541807
0.837638,0.063305,0.542545
0.836216,0.073730,0.543421
0.834576,0.084107,0.544434
0.832721,0.094429,0.545581
0.830653,0.104692,0.546860
0.828373,0.114890,0.548269
0.825884,0.125017,0.549805
0.823189,0.135068,0.551468
0.820288,0.145038,0.553255
0.817185,0.154920,0.555165
0.813881,0.164709,0.557197
0.810379,0.174397,0.559349
0.806680,0.183981,0.561621
0.802787,0.193452,0.564011
0.798702,0.202805,0.566520
0.794427,0.212033,0.569146
0.789964,0.221130,0.571890
0.785316,0.230088,0.574751
0.780484,0.238902,0.577728
0.775471,0.247565,0.580823
0.770280,0.256069,0.584035
0.764913,0.264410,0.587362
0.759375,0.272585,0.590802
0.753669,0.280589,0.594351
0.747798,0.288418,0.598008
0.741767,0.296066,0.601769
0.735579,0.303531,0.605634
0.729239,0.310806,0.609599
0.722749,0.317887,0.613662
0.716116,0.324769,0.617822
0.709342,0.331446,0.622076
0.702431,0.337913,0.626422
0.695390,0.344165,0.630859
0.688220,0.350198,0.635385
0.680928,0.356009,0.639996
0.673516,0.361595,0.644690
0.665989,0.366953,0.649464
0.658351,0.372081,0.654316
0.650607,0.376975,0.659242
0.642760,0.381633,0.664240
0.634817,0.386051,0.669307
0.626780,0.390226,0.674441
0.618657,0.394154,0.679637
0.610450,0.397831,0.684895
0.602166,0.401255,0.690210
0.593810,0.404422,0.695580
0.585386,0.407331,0.701003
0.576898,0.409980,0.706474
0.568349,0.412369,0.711991
0.559744,0.414497,0.717550
0.551088,0.416363,0.723149
0.542384,0.417966,0.728782
0.533638,0.419304,0.734448
0.524854,0.420377,0.740143
0.516037,0.421184,0.745862
0.507192,0.421723,0.751602
0.498324,0.421994,0.757360
0.489438,0.421995,0.763132
0.480540,0.421726,0.768914
0.471631,0.421188,0.774703
0.462715,0.420383,0.780496
0.453795,0.419310,0.786288
0.444875,0.417972,0.792077
0.435959,0.416369,0.797858
0.427049,0.414502,0.803628
0.418149,0.412372,0.809383
0.409264,0.409981,0.815119
0.400397,0.407330,0.820831
0.391553,0.404421,0.826517
0.382735,0.401255,0.832171
0.373947,0.397834,0.837790
0.365192,0.394160,0.843370
0.356471,0.390236,0.848908
0.347786,0.386065,0.854400
0.339138,0.381650,0.859842
0.330531,0.376993,0.865232
0.321965,0.372098,0.870564
0.313442,0.366968,0.875836
