x,BSpline3_NATURAL,BSpline3_COMPLETE,BSpline3_NOT_A_KNOT,BSpline3_SECOND,f_exact(x)
3.25000000,0.08582338,0.08588761,0.08571570,0.08587845,0.08648649
3.30000000,0.08337369,0.08345147,0.08324330,0.08344037,0.08410429
3.35000000,0.08104004,0.08113063,0.08088817,0.08111770,0.08181632
3.40000000,0.07881707,0.07891931,0.07864567,0.07890472,0.07961783
3.45000000,0.07669942,0.07681173,0.07651112,0.07679571,0.07750436
3.50000000,0.07468173,0.07480213,0.07447987,0.07478495,0.07547170
3.55000000,0.07275864,0.07288472,0.07254726,0.07286673,0.07351590
3.60000000,0.07092479,0.07105372,0.07070863,0.07103532,0.07163324
3.65000000,0.06917482,0.06930337,0.06895931,0.06928502,0.06982021
3.70000000,0.06750337,0.06762787,0.06729465,0.06761011,0.06807352
3.75000000,0.06590509,0.06602147,0.06570999,0.06600486,0.06639004
3.80000000,0.06437461,0.06447837,0.06420066,0.06446356,0.06476684
3.85000000,0.06290657,0.06299280,0.06276201,0.06298050,0.06320114
3.90000000,0.06149562,0.06155899,0.06138938,0.06154995,0.06169031
3.95000000,0.06013639,0.06017116,0.06007811,0.06016620,0.06023189
4.00000000,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353
4.05000000,0.05755222,0.05751121,0.05762099,0.05751706,0.05746301
4.10000000,0.05631987,0.05623281,0.05646582,0.05624524,0.05614823
4.15000000,0.05512442,0.05498786,0.05535337,0.05500735,0.05487721
4.20000000,0.05396383,0.05377585,0.05427898,0.05380268,0.05364807
4.25000000,0.05283604,0.05259630,0.05323798,0.05263051,0.05245902
4.30000000,0.05173901,0.05144870,0.05222571,0.05149012,0.05130836
4.35000000,0.05067068,0.05033256,0.05123752,0.05038081,0.05019450
4.40000000,0.04962900,0.04924740,0.05026875,0.04930185,0.04911591
4.45000000,0.04861192,0.04819271,0.04931473,0.04825253,0.04807115
4.50000000,0.04761740,0.04716801,0.04837081,0.04723214,0.04705882
4.55000000,0.04664338,0.04617280,0.04743232,0.04623995,0.04607764
4.60000000,0.04568782,0.04520658,0.04649460,0.04527526,0.04512635
4.65000000,0.04474865,0.04426887,0.04555300,0.04433734,0.04420378
4.70000000,0.04382384,0.04335917,0.04460285,0.04342548,0.04330879
4.75000000,0.04291133,0.04247699,0.04363950,0.04253897,0.04244032
4.80000000,0.04200907,0.04162183,0.04265828,0.04167709,0.04159734
4.85000000,0.04111501,0.04079319,0.04165454,0.04083912,0.04077888
4.90000000,0.04022710,0.03999060,0.04062360,0.04002435,0.03998401
4.95000000,0.03934330,0.03921354,0.03956082,0.03923206,0.03921184
5.00000000,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154
