x,BSpline1,f_exact(x)
-0.58250000,0.11750000,0.10545568
-0.58000000,0.12000000,0.10626993
-0.57750000,0.12250000,0.10709325
-0.57500000,0.12500000,0.10792580
-0.57250000,0.12750000,0.10876770
-0.57000000,0.13000000,0.10961907
-0.56750000,0.13250000,0.11048007
-0.56500000,0.13500000,0.11135082
-0.56250000,0.13750000,0.11223148
-0.56000000,0.14000000,0.11312217
-0.55750000,0.14250000,0.11402305
-0.55500000,0.14500000,0.11493427
-0.55250000,0.14750000,0.11585598
-0.55000000,0.15000000,0.11678832
-0.54750000,0.15250000,0.11773146
-0.54500000,0.15500000,0.11868556
-0.54250000,0.15750000,0.11965077
-0.54000000,0.16000000,0.12062726
-0.53750000,0.16250000,0.12161520
-0.53500000,0.16500000,0.12261476
-0.53250000,0.16750000,0.12362611
-0.53000000,0.17000000,0.12464942
-0.52750000,0.17250000,0.12568488
-0.52500000,0.17500000,0.12673267
-0.52250000,0.17750000,0.12779298
-0.52000000,0.18000000,0.12886598
-0.51750000,0.18250000,0.12995188
-0.51500000,0.18500000,0.13105086
-0.51250000,0.18750000,0.13216314
-0.51000000,0.19000000,0.13328890
-0.50750000,0.19250000,0.13442836
-0.50500000,0.19500000,0.13558173
-0.50250000,0.19750000,0.13674921
-0.50000000,0.20000000,0.13793103
-0.49750000,0.20250000,0.13912741
-0.49500000,0.20500000,0.14033857
-0.49250000,0.20750000,0.14156473
-0.49000000,0.21000000,0.14280614
-0.48750000,0.21250000,0.14406303
-0.48500000,0.21500000,0.14533563
-0.48250000,0.21750000,0.14662421
-0.48000000,0.22000000,0.14792899
-0.47750000,0.22250000,0.14925025
-0.47500000,0.22500000,0.15058824
-0.47250000,0.22750000,0.15194321
-0.47000000,0.23000000,0.15331545
-0.46750000,0.23250000,0.15470521
-0.46500000,0.23500000,0.15611279
-0.46250000,0.23750000,0.15753846
-0.46000000,0.24000000,0.15898251
-0.45750000,0.24250000,0.16044524
-0.45500000,0.24500000,0.16192693
-0.45250000,0.24750000,0.16342790
-0.45000000,0.25000000,0.16494845
-0.44750000,0.25250000,0.16648891
-0.44500000,0.25500000,0.16804957
-0.44250000,0.25750000,0.16963079
-0.44000000,0.26000000,0.17123288
-0.43750000,0.26250000,0.17285618
-0.43500000,0.26500000,0.17450104
-0.43250000,0.26750000,0.17616780
-0.43000000,0.27000000,0.17785683
-0.42750000,0.27250000,0.17956847
-0.42500000,0.27500000,0.18130312
-0.42250000,0.27750000,0.18306113
-0.42000000,0.28000000,0.18484288
-0.41750000,0.28250000,0.18664878
-0.41500000,0.28500000,0.18847921
-0.41250000,0.28750000,0.19033457
-0.41000000,0.29000000,0.19221528
-0.40750000,0.29250000,0.19412175
-0.40500000,0.29500000,0.19605441
-0.40250000,0.29750000,0.19801368
-0.40000000,0.30000000,0.20000000
-0.39750000,0.30250000,0.20201383
-0.39500000,0.30500000,0.20405561
-0.39250000,0.30750000,0.20612580
-0.39000000,0.31000000,0.20822488
-0.38750000,0.31250000,0.21035333
-0.38500000,0.31500000,0.21251162
-0.38250000,0.31750000,0.21470026
-0.38000000,0.32000000,0.21691974
-0.37750000,0.32250000,0.21917058
-0.37500000,0.32500000,0.22145329
-0.37250000,0.32750000,0.22376840
-0.37000000,0.33000000,0.22611645
-0.36750000,0.33250000,0.22849798
-0.36500000,0.33500000,0.23091355
-0.36250000,0.33750000,0.23336372
